epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,25247.5,1.93552,0.8306,1.18571,0.51629,0.44721,0.44191,0.259,2.64268,0.76217,1.16592,0.00892,0.00892,0.00892
137,25431.1,1.93328,0.8249,1.1888,0.51334,0.45002,0.4418,0.25931,2.64204,0.76157,1.16555,0.008912,0.008912,0.008912
138,25614.9,1.93371,0.82628,1.18599,0.51521,0.44979,0.44196,0.25941,2.64064,0.76105,1.16534,0.008904,0.008904,0.008904
139,25799,1.93435,0.82896,1.18792,0.51071,0.45223,0.4423,0.25941,2.63952,0.76067,1.16508,0.008896,0.008896,0.008896
140,25983.8,1.91707,0.82271,1.18244,0.51248,0.45265,0.4429,0.25964,2.63828,0.76046,1.16483,0.008888,0.008888,0.008888
141,26168.1,1.9136,0.81662,1.18255,0.51221,0.45212,0.44301,0.25971,2.63725,0.76001,1.16469,0.00888,0.00888,0.00888
142,26352.8,1.92132,0.82325,1.18626,0.51289,0.45155,0.44326,0.25975,2.63576,0.75981,1.16449,0.008872,0.008872,0.008872
143,26537.6,1.92531,0.81987,1.18081,0.5134,0.45202,0.44368,0.26003,2.635,0.75936,1.16416,0.008864,0.008864,0.008864
144,26722.3,1.93046,0.82455,1.18648,0.51352,0.45253,0.44384,0.26022,2.63434,0.759,1.16411,0.008856,0.008856,0.008856
145,26906.8,1.91313,0.82075,1.18152,0.51396,0.45277,0.44381,0.26027,2.63272,0.75864,1.16387,0.008848,0.008848,0.008848
146,27091.7,1.9103,0.81826,1.18385,0.52011,0.45074,0.44407,0.26046,2.63199,0.75837,1.16382,0.00884,0.00884,0.00884
147,27276.5,1.91074,0.81667,1.18294,0.51977,0.45093,0.4445,0.26067,2.6316,0.75804,1.16375,0.008832,0.008832,0.008832
148,27461,1.89973,0.8189,1.17943,0.52005,0.45052,0.4443,0.26068,2.63029,0.75781,1.16361,0.008824,0.008824,0.008824
149,27645.8,1.92459,0.81232,1.18065,0.52052,0.45087,0.44467,0.26088,2.62811,0.75735,1.16312,0.008816,0.008816,0.008816
150,27830.7,1.8867,0.81391,1.17683,0.52041,0.45101,0.44492,0.26108,2.62584,0.75687,1.16278,0.008808,0.008808,0.008808
151,28019.4,1.90234,0.81384,1.17874,0.52118,0.45119,0.44534,0.26119,2.62451,0.75628,1.16249,0.0088,0.0088,0.0088
152,28204.2,1.90861,0.8165,1.17745,0.52572,0.44766,0.44529,0.26122,2.62331,0.75586,1.16237,0.008792,0.008792,0.008792
153,28388.8,1.89243,0.81346,1.17836,0.52085,0.45049,0.44524,0.26134,2.62161,0.75555,1.16217,0.008784,0.008784,0.008784
154,28573.8,1.88677,0.815,1.17487,0.52,0.45114,0.44575,0.26156,2.62049,0.7551,1.16201,0.008776,0.008776,0.008776
155,28758.6,1.88868,0.81348,1.17559,0.52417,0.44944,0.44568,0.26158,2.61975,0.75475,1.16189,0.008768,0.008768,0.008768
