epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1607.77,0.29022,1.05582,1.3002,0.59029,0.45241,0.50631,0.2801,0.57071,1.11191,1.47954,0.009552,0.009552,0.009552
58,1632.68,0.29598,0.96754,1.29296,0.57791,0.55878,0.5549,0.32204,0.52371,1.00402,1.37296,0.009544,0.009544,0.009544
59,1657.58,0.30175,1.03625,1.30552,0.53271,0.52092,0.52864,0.30265,0.5437,1.0439,1.38362,0.009536,0.009536,0.009536
60,1682.52,0.2996,0.93567,1.29065,0.61576,0.55599,0.59934,0.33596,0.51881,0.89219,1.35112,0.009528,0.009528,0.009528
61,1707.41,0.30288,0.96722,1.28492,0.48226,0.52833,0.50678,0.2961,0.52186,1.16069,1.38824,0.00952,0.00952,0.00952
62,1732.41,0.30267,0.94287,1.27221,0.60925,0.59813,0.60711,0.34866,0.51981,0.89781,1.35861,0.009512,0.009512,0.009512
63,1757.45,0.28539,0.956,1.28095,0.55188,0.58031,0.58137,0.33765,0.50735,0.94116,1.34271,0.009504,0.009504,0.009504
64,1782.41,0.29125,0.95838,1.27685,0.66218,0.54738,0.6071,0.34677,0.52354,0.87131,1.36729,0.009496,0.009496,0.009496
65,1807.29,0.29936,0.96455,1.28613,0.55889,0.62823,0.61376,0.35045,0.50316,0.89151,1.35676,0.009488,0.009488,0.009488
66,1832.35,0.28546,0.95497,1.26897,0.63904,0.58504,0.62882,0.36233,0.5166,0.82525,1.3606,0.00948,0.00948,0.00948
67,1857.48,0.27789,0.9071,1.2685,0.51797,0.53954,0.53324,0.28936,0.56807,1.16989,1.458,0.009472,0.009472,0.009472
68,1882.42,0.27347,0.95174,1.26846,0.64925,0.56806,0.63936,0.374,0.50889,0.84449,1.33746,0.009464,0.009464,0.009464
69,1907.52,0.28339,0.90314,1.25814,0.57145,0.54775,0.57535,0.32188,0.53491,1.06274,1.40272,0.009456,0.009456,0.009456
70,1932.52,0.27301,0.97483,1.26743,0.50105,0.43266,0.45023,0.22025,0.61374,1.36838,1.56315,0.009448,0.009448,0.009448
71,1957.4,0.2675,0.93278,1.267,0.62838,0.53715,0.58557,0.32054,0.53994,1.02938,1.43051,0.00944,0.00944,0.00944
72,1982.41,0.28871,0.92953,1.27437,0.60138,0.6086,0.62619,0.36387,0.51391,0.88079,1.34273,0.009432,0.009432,0.009432
73,2007.6,0.27413,0.85096,1.24611,0.46287,0.59968,0.55303,0.32048,0.5268,1.08774,1.3977,0.009424,0.009424,0.009424
74,2032.53,0.27995,0.8775,1.24153,0.58242,0.63322,0.61513,0.36687,0.51385,0.85189,1.34191,0.009416,0.009416,0.009416
75,2057.5,0.27352,0.86989,1.24362,0.54861,0.60763,0.59158,0.33643,0.51457,0.95418,1.35997,0.009408,0.009408,0.009408
76,2088.16,0.26014,0.86806,1.25621,0.62488,0.59507,0.61817,0.35948,0.50403,0.86904,1.34763,0.0094,0.0094,0.0094
77,2113.01,0.28052,0.87847,1.26878,0.60466,0.59552,0.62032,0.3623,0.52798,0.98241,1.38021,0.009392,0.009392,0.009392
78,2148.99,0.283,0.8583,1.2446,0.60509,0.66116,0.65135,0.37385,0.50709,0.83924,1.33602,0.009384,0.009384,0.009384
79,2173.73,0.26961,0.82882,1.22916,0.59917,0.63374,0.64399,0.37543,0.50557,0.88111,1.34205,0.009376,0.009376,0.009376
80,2209.92,0.27237,0.84819,1.22684,0.53299,0.5143,0.54879,0.31596,0.51435,1.05315,1.38278,0.009368,0.009368,0.009368
81,2234.7,0.25993,0.80585,1.23237,0.65342,0.52974,0.61419,0.34405,0.52938,1.09653,1.37715,0.00936,0.00936,0.00936
82,2270.57,0.26806,0.83268,1.23415,0.61468,0.64416,0.64611,0.37301,0.49056,0.88494,1.32581,0.009352,0.009352,0.009352
83,2307.54,0.27523,0.81874,1.24218,0.69088,0.59034,0.65941,0.38785,0.52519,0.86789,1.34485,0.009344,0.009344,0.009344
84,2332.08,0.28779,0.82839,1.22562,0.76369,0.59697,0.67947,0.39867,0.49312,0.77314,1.3187,0.009336,0.009336,0.009336
85,2356.78,0.2679,0.8032,1.21945,0.56754,0.61961,0.6197,0.36535,0.516,1.09468,1.36013,0.009328,0.009328,0.009328
86,2381.56,0.25809,0.83716,1.23531,0.6207,0.57469,0.61933,0.3556,0.51323,0.97134,1.35449,0.00932,0.00932,0.00932
87,2406.35,0.26578,0.78749,1.23296,0.64647,0.56786,0.61451,0.36058,0.51742,0.95432,1.38135,0.009312,0.009312,0.009312
88,2431.09,0.2677,0.81379,1.21841,0.63172,0.55108,0.60465,0.35636,0.51814,1.02148,1.36633,0.009304,0.009304,0.009304
89,2455.96,0.26349,0.76617,1.21058,0.61589,0.57871,0.64708,0.36825,0.51503,0.90638,1.36992,0.009296,0.009296,0.009296
90,2480.76,0.27738,0.77906,1.23197,0.59299,0.57148,0.61053,0.34533,0.51522,0.98371,1.38566,0.009288,0.009288,0.009288
