epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,1612.77,0.29371,1.03087,1.27823,0.54551,0.54915,0.54709,0.32448,0.53349,0.94576,1.38934,0.009264,0.009264,0.009264
94,1629.2,0.28571,1.02704,1.2798,0.63473,0.51419,0.56139,0.32278,0.51188,1.01944,1.35671,0.009256,0.009256,0.009256
95,1645.41,0.29459,1.03797,1.27719,0.5037,0.56613,0.53413,0.30514,0.5457,1.06542,1.40447,0.009248,0.009248,0.009248
96,1661.79,0.29011,1.02949,1.28783,0.57989,0.574,0.57249,0.32834,0.52404,1.0257,1.36276,0.00924,0.00924,0.00924
97,1678.05,0.28582,1.01681,1.26967,0.60689,0.55851,0.58495,0.34324,0.52095,0.92243,1.33743,0.009232,0.009232,0.009232
98,1695.49,0.28069,0.96537,1.27136,0.66039,0.509,0.55789,0.3201,0.54512,0.90642,1.40566,0.009224,0.009224,0.009224
99,1711.88,0.28981,0.97804,1.26836,0.58508,0.50612,0.54786,0.3058,0.53513,1.10491,1.40131,0.009216,0.009216,0.009216
100,1728.11,0.28331,1.08838,1.29143,0.6042,0.59779,0.62358,0.37008,0.50241,0.93186,1.32146,0.009208,0.009208,0.009208
101,1744.46,0.29197,1.03038,1.2851,0.60658,0.55731,0.57954,0.34314,0.52132,0.95025,1.36069,0.0092,0.0092,0.0092
102,1760.67,0.28752,1.06199,1.2778,0.60634,0.50348,0.55061,0.32198,0.52497,1.04641,1.37811,0.009192,0.009192,0.009192
103,1779.41,0.28299,0.9768,1.28434,0.53573,0.59158,0.57768,0.34035,0.5071,0.89702,1.33274,0.009184,0.009184,0.009184
104,1795.97,0.28851,0.99984,1.26182,0.56348,0.58913,0.58135,0.33558,0.51898,0.93826,1.35793,0.009176,0.009176,0.009176
105,1812.3,0.29946,1.00077,1.28978,0.57826,0.54382,0.55717,0.31703,0.53737,0.95247,1.38803,0.009168,0.009168,0.009168
106,1830.52,0.29964,0.99213,1.27346,0.59045,0.57396,0.56943,0.3183,0.52266,0.99549,1.37839,0.00916,0.00916,0.00916
107,1846.9,0.29146,0.92414,1.28767,0.60139,0.53487,0.59115,0.33836,0.52711,0.90195,1.36946,0.009152,0.009152,0.009152
108,1863.2,0.30466,0.97956,1.29227,0.59086,0.54056,0.58267,0.34782,0.50486,0.94705,1.33941,0.009144,0.009144,0.009144
109,1879.4,0.30288,0.98927,1.26193,0.57023,0.5682,0.57915,0.33012,0.51345,0.98596,1.35513,0.009136,0.009136,0.009136
110,1895.91,0.28543,0.97067,1.26454,0.58616,0.56559,0.58463,0.34384,0.49951,0.91651,1.33624,0.009128,0.009128,0.009128
111,1912.09,0.28406,0.94516,1.27842,0.6197,0.53328,0.59336,0.35282,0.50578,0.89822,1.33194,0.00912,0.00912,0.00912
112,1928.37,0.27854,0.95022,1.26692,0.58652,0.53729,0.56389,0.32504,0.52126,0.95738,1.38948,0.009112,0.009112,0.009112
113,1944.56,0.2762,0.9307,1.25566,0.61735,0.59701,0.62805,0.36778,0.50255,0.94038,1.34089,0.009104,0.009104,0.009104
114,1960.76,0.29612,0.94103,1.26893,0.56183,0.64598,0.61127,0.35735,0.50748,0.88625,1.32772,0.009096,0.009096,0.009096
115,1977.05,0.28548,0.95863,1.2838,0.66026,0.61397,0.64757,0.38633,0.50003,0.84828,1.31291,0.009088,0.009088,0.009088
116,1993.29,0.27671,0.9472,1.22984,0.61689,0.62867,0.61988,0.37847,0.50348,0.85935,1.32921,0.00908,0.00908,0.00908
117,2009.7,0.28147,0.94186,1.24808,0.57876,0.56774,0.60195,0.36299,0.50074,0.9228,1.32321,0.009072,0.009072,0.009072
118,2025.93,0.28273,0.93567,1.2645,0.60191,0.56252,0.59171,0.34226,0.51188,1.05354,1.3655,0.009064,0.009064,0.009064
119,2042.23,0.28178,0.9206,1.25432,0.62711,0.59171,0.61663,0.35144,0.50697,0.91498,1.33956,0.009056,0.009056,0.009056
120,2058.59,0.28979,0.93121,1.25474,0.55626,0.57871,0.56159,0.32177,0.52839,0.94846,1.37585,0.009048,0.009048,0.009048
121,2076.26,0.26599,0.91296,1.22971,0.57905,0.54491,0.57138,0.3164,0.52447,0.95226,1.36806,0.00904,0.00904,0.00904
